Tweet ID,Author ID,Created At,Text,Retweets,Mentions
1884371370773209108,1814726379805814787,2025-01-28 22:41:59+00:00,"@BillAckman @deepseek_ai @nvidia I went to China. They have humans inside their ATM cash machines. It could be like that with DeepSeek, human PHD's answering every request, lol.",1,"[{'start': 0, 'end': 11, 'username': 'BillAckman', 'id': '880412538625810432'}, {'start': 12, 'end': 24, 'username': 'deepseek_ai', 'id': '1714580962569588736'}, {'start': 25, 'end': 32, 'username': 'nvidia', 'id': '61559439'}]"
1884371202334212243,2962828127,2025-01-28 22:41:19+00:00,"@iamjasonlevin supposedly research on this already and the answer is that yes, yes you can. 

With deepseek R1 this accuracy is probably closer to 90% versus the 70% a year'ish ago.

With neuralink, we'll be able to read brain scans/thinking without x-rays

https://t.co/VZ3dYql4Cj",1,"[{'start': 0, 'end': 14, 'username': 'iamjasonlevin', 'id': '362189690'}]"
1884371548720562268,1883878569585065985,2025-01-28 22:42:41+00:00,"@CookerFlips Trading is like AI development - patience and strategy over quick gains. At DeepSeek, we don't rush breakthroughs. Same applies here. Hold your position, let the tech (and trades) mature. $WENFENG holders know this well.",0,"[{'start': 0, 'end': 12, 'username': 'CookerFlips', 'id': '1189381231198134272'}]"
1884371548552774134,241458274,2025-01-28 22:42:41+00:00,@FortuneMagazine Trump is going to ban DeepSeek because it has undone his Stargate AI Project capture,0,"[{'start': 0, 'end': 16, 'username': 'FortuneMagazine', 'id': '25053299'}]"
1884371547470569814,534653770,2025-01-28 22:42:41+00:00,Remember that @deepseek_ai is just a propaganda tool of Chinese totalitarianism. https://t.co/yltcqGq4r5,0,"[{'start': 14, 'end': 26, 'username': 'deepseek_ai', 'id': '1714580962569588736'}]"
1884371545159786543,1631519610892693504,2025-01-28 22:42:40+00:00,"Overarching framework:

DeepSeek’s new V3 and R1 models show that GenAI can become more cost-efficient—great news for software vendors building AI solutions (rather than selling the models themselves). Lower “input costs” should drive higher usage  and accelerate adoption across… https://t.co/nZrpG03Y0m",0,[]
1884371542311637370,21353169,2025-01-28 22:42:40+00:00,"Thank you @compass_mining for publishing my latest article which highlights the impact and benefits of the recent announcement by @deepseek_ai, to the North American #HPC and #AI industry. https://t.co/EutN6DjY5j",0,"[{'start': 10, 'end': 25, 'username': 'compass_mining', 'id': '1072307787894419456'}, {'start': 130, 'end': 142, 'username': 'deepseek_ai', 'id': '1714580962569588736'}]"
1884371541078491165,1428625460922142723,2025-01-28 22:42:39+00:00,@MuslimV0ice @SubboorAhmad @deepseek_ai All you need is location data for the scenario.,0,"[{'start': 0, 'end': 12, 'username': 'MuslimV0ice', 'id': '1705987749587652608'}, {'start': 13, 'end': 26, 'username': 'SubboorAhmad', 'id': '1257436560'}, {'start': 27, 'end': 39, 'username': 'deepseek_ai', 'id': '1714580962569588736'}]"
1884371537987330146,753512826,2025-01-28 22:42:39+00:00,"When the whole world is amused about China’s #DeepSeek , few chapris are searching about Arunachal Pradesh and worried about AI bot’s unresponsive towards it!! #ChinaAI #china #deepseekai #ArunachalPradesh",0,[]
1884371530500411559,1742940673836195840,2025-01-28 22:42:37+00:00,"@RenatusAI @deepseek_ai DeepSeek really took everyone by surprise yesterday, and now @RenatusAI is doing the same for the web3 community! I gotta try the bot out and see how it improved 👀",0,"[{'start': 0, 'end': 10, 'username': 'RenatusAI', 'id': '1867518928659820544'}, {'start': 11, 'end': 23, 'username': 'deepseek_ai', 'id': '1714580962569588736'}, {'start': 85, 'end': 95, 'username': 'RenatusAI', 'id': '1867518928659820544'}]"
1884371527770222724,1862275368171782144,2025-01-28 22:42:36+00:00,@BillAckman @deepseek_ai @nvidia What are the chances??????? 10000000% that was a nasty short play. But I bet you and everyone else rode it too. It’s a nasty game I’m not hating 🤷‍♂️,0,"[{'start': 0, 'end': 11, 'username': 'BillAckman', 'id': '880412538625810432'}, {'start': 12, 'end': 24, 'username': 'deepseek_ai', 'id': '1714580962569588736'}, {'start': 25, 'end': 32, 'username': 'nvidia', 'id': '61559439'}]"
1884371524595114445,1296622091605643266,2025-01-28 22:42:36+00:00,"@luke_leisher_ @Astrolavey @BSF42069 The censourship isn't the open source Ai itself, it's just the deepseek app. The ai could be implimented without it",0,"[{'start': 0, 'end': 14, 'username': 'luke_leisher_', 'id': '1839268922463498240'}, {'start': 15, 'end': 26, 'username': 'Astrolavey', 'id': '1186544769520033792'}, {'start': 27, 'end': 36, 'username': 'BSF42069', 'id': '1661739003987759109'}]"
1884371498820948400,1586150448918052864,2025-01-28 22:42:29+00:00,"Ok so, 
China’s AI DeepSeek
ITS FOS
Nothing but Chicom propaganda 

Thats it https://t.co/vm0EKAu9AV",0,[]
1884371494018416661,1474833903894638605,2025-01-28 22:42:28+00:00,$BABA build a better ai than deepseek and is sitting on a mountain of cash,0,[]
1884371493187887183,1844920810533720068,2025-01-28 22:42:28+00:00,@BillAckman @deepseek_ai @nvidia If they didn't make a fortune... they are idiots.,0,"[{'start': 0, 'end': 11, 'username': 'BillAckman', 'id': '880412538625810432'}, {'start': 12, 'end': 24, 'username': 'deepseek_ai', 'id': '1714580962569588736'}, {'start': 25, 'end': 32, 'username': 'nvidia', 'id': '61559439'}]"
